"","Condition","List","GenderRating","Name","Prompt","Male","Female","Other","Likeable","Accomplished","Important","SubjID","SubjGender","SubjAge","SubjRace","SubjEd"
"164","first","3C",6.82,"Emily Brooks","politics",0,1,0,2,2,2,"R_2ZZvqWf8emVPsDB","female","35 - 44","White","4 year degree"
"165","first","3C",5.34,"Jackie Walker","book",0,1,0,2,1,3,"R_2ZZvqWf8emVPsDB","female","35 - 44","White","4 year degree"
"166","first","3C",1.28,"James White","sports",1,0,0,3,1,3,"R_2ZZvqWf8emVPsDB","female","35 - 44","White","4 year degree"
"167","first","3C",4.39,"Jessie Turner","science",0,1,0,3,2,2,"R_2ZZvqWf8emVPsDB","female","35 - 44","White","4 year degree"
"168","first","3C",3.87,"Reese Campbell","meals",0,1,0,1,4,3,"R_2ZZvqWf8emVPsDB","female","35 - 44","White","4 year degree"
"169","first","3C",6.24,"Ashley Green","album",0,1,0,2,1,2,"R_2QmqpD1K6Nn8JPx","male","25 - 34","White","4 year degree"
"170","first","3C",2.61,"Emerson Baker","animals",1,0,0,1,1,1,"R_2QmqpD1K6Nn8JPx","male","25 - 34","White","4 year degree"
"171","first","3C",6.82,"Emily Brooks","politics",0,1,0,2,1,1,"R_2QmqpD1K6Nn8JPx","male","25 - 34","White","4 year degree"
"172","first","3C",5.34,"Jackie Walker","book",1,0,0,1,2,1,"R_2QmqpD1K6Nn8JPx","male","25 - 34","White","4 year degree"
"173","first","3C",1.28,"James White","sports",1,0,0,2,1,1,"R_2QmqpD1K6Nn8JPx","male","25 - 34","White","4 year degree"
"174","first","3C",4.39,"Jessie Turner","science",1,0,0,2,3,2,"R_2QmqpD1K6Nn8JPx","male","25 - 34","White","4 year degree"
"175","first","3C",3.87,"Reese Campbell","meals",0,1,0,1,1,1,"R_2QmqpD1K6Nn8JPx","male","25 - 34","White","4 year degree"
"176","first","2B",5.22,"Blair Young","animals",1,0,0,1,1,1,"R_DouRUHRxusrvP1v","male","25 - 34","White","4 year degree"
"177","first","2B",1.24,"Brian Wright","science",1,0,0,1,1,1,"R_DouRUHRxusrvP1v","male","25 - 34","White","4 year degree"
"178","first","2B",5.86,"Elisha Bell","book",0,1,0,1,1,1,"R_DouRUHRxusrvP1v","male","25 - 34","White","4 year degree"
