"","Condition","List","GenderRating","NameShown","NameFirst","NameLast","He","She","Other","OtherType","Response","SubjID","SubjGender","SubjAge","SubjRace","SubjEd"
"93","first",1,3.87,"Reese","Reese",NA,1,0,0,"","his sister entered the room and stated that she wanted some tea too.","R_11YlFnghAeBXO0m","male","25 - 34","Black or African American","4 year degree"
"94","first",1,4.22,"Taylor","Taylor",NA,0,0,1,"other subject","it was time to cook lunch.","R_11YlFnghAeBXO0m","male","25 - 34","Black or African American","4 year degree"
"95","first",1,4.34,"Riley","Riley",NA,1,0,0,"","he looked in the mirror to check his hair.","R_11YlFnghAeBXO0m","male","25 - 34","Black or African American","4 year degree"
"96","first",1,4.39,"Jessie","Jessie",NA,1,0,0,"","he went to look for his shirt.","R_11YlFnghAeBXO0m","male","25 - 34","Black or African American","4 year degree"
"97","first",1,4.73,"Kerry","Kerry",NA,1,0,0,"","he had to text his friend back immediately.","R_11YlFnghAeBXO0m","male","25 - 34","Black or African American","4 year degree"
"98","first",1,5.22,"Blair","Blair",NA,1,0,0,"","he wondered if he forgot to lock the front door again.","R_11YlFnghAeBXO0m","male","25 - 34","Black or African American","4 year degree"
"99","first",1,5.34,"Jackie","Jackie",NA,0,1,0,"","she noticed that it started to rain a little.","R_11YlFnghAeBXO0m","male","25 - 34","Black or African American","4 year degree"
"100","first",1,5.59,"Jodie","Jodie",NA,0,1,0,"","she looked around and made eye contact with another driver.","R_11YlFnghAeBXO0m","male","25 - 34","Black or African American","4 year degree"
"101","first",1,5.86,"Elisha","Elisha",NA,0,1,0,"","she did one final check to make sure the paper was perfect.","R_11YlFnghAeBXO0m","male","25 - 34","Black or African American","4 year degree"
"102","first",1,6.24,"Ashley","Ashley",NA,0,1,0,"","she began to set the table.","R_11YlFnghAeBXO0m","male","25 - 34","Black or African American","4 year degree"
"103","first",1,6.73,"Mary","Mary",NA,0,1,0,"","she asked her friends if any of them knew how to do it.","R_11YlFnghAeBXO0m","male","25 - 34","Black or African American","4 year degree"
"104","first",1,6.78,"Rebecca","Rebecca",NA,0,1,0,"","she adjusted her glove.","R_11YlFnghAeBXO0m","male","25 - 34","Black or African American","4 year degree"
"105","first",1,6.82,"Emily","Emily",NA,0,1,0,"","she wondered when it would stop being so hot outside.","R_11YlFnghAeBXO0m","male","25 - 34","Black or African American","4 year degree"
